qitem,label,description,tier,positions_held,sitelink_count,statements,en_title,lg_title,ugandan_citizen
Q134959497,Zoe Bakoko Bakoru,Ugandan politician,National executive,minister,0,5,,,yes
Q39183854,Lillian Tibatemwa-Ekirikubinza,"Ugandian lawyer, Justice of the Supreme Court of Uganda",Judiciary,Justice of the Supreme Court of Uganda,9,28,Lillian Tibatemwa-Ekirikubinza,Lillian Tibatemwa-Ekirikubinza,yes
Q48119456,Percy Tuhaise,Ugandan lawyer and judge,Judiciary,Justice of the Supreme Court of Uganda,3,22,Percy Tuhaise,Percy Tuhaise,yes
Q39311739,Faith Mwondha,Ugandan lawyer and judge,Judiciary,Justice of the Supreme Court of Uganda,3,17,Faith Mwondha,Faith Mwondha,yes
Q16147044,Stella Arach-Amoko,Ugandan judge,Judiciary,Justice of the Supreme Court of Uganda,3,17,Stella Arach-Amoko,Stella Arach-Amoko,no
Q5401242,Esther Mayambala Kisaakye,Ugandan judge,Judiciary,Justice of the Supreme Court of Uganda,3,16,Esther Mayambala Kisaakye,Esther Mayambala Kisaakye,yes
Q21759,Winnie Byanyima,"20th and 21st-century Ugandan aeronautical engineer, politician and diplomat",Diplomatic service,Member of Parliament of Uganda; ambassador; executive director,28,56,Winnie Byanyima,Winnie Byanyima,yes
Q33122407,Stéphanie Rivoal,French diplomat,Diplomatic service,ambassador of France to Uganda; chairperson; supervisory board,2,40,,,no
Q33103191,Aline Kuster-Ménager,French diplomat,Diplomatic service,ambassador of France to Benin; ambassador of France to Kenya; ambassador of France to Somalia; ambassador of France to Uganda,1,27,,,no
Q100308123,Mirjam Blaak,Ugandan politician and diplomat,Diplomatic service,ambassador of Uganda,2,26,Mirjam Blaak,,yes
Q5791446,Cristina Díaz Fernández-Gil,Spanish diplomat,Diplomatic service,Ambassador of Spain to Burkina Fasso; Ambassador of Spain to Ivory Coast; Ambassador of Spain to Liberia; Ambassador of Spain to Somalia; Ambassador of Spain to Uganda; ambassador of Spain to Kenya; ambassador of Spain to Senegal,2,25,,,no
Q56808503,Alison Blackburne,British diplomat,Diplomatic service,High Commissioner of the United Kingdom to Uganda; ambassador of the United Kingdom to South Sudan,0,18,,,no
Q4859206,Barbara Oundo Nekesa,Ugandan politician,Diplomatic service,Member of Parliament of Uganda; ambassador,8,18,Barbara Nekesa Oundo,Barbara Nekesa Oundo,yes
Q25051158,Edith Sempala,"Ugandan civil engineer, civil servant, diplomat and political activist",Diplomatic service,ambassador of Uganda to the United States,8,16,Edith Sempala,Edith Sempala,yes
Q56794674,Kate Airey,British diplomat. High Commissioner to Namibia 2018-,Diplomatic service,High Commissioner of the United Kingdom to Namibia; High Commissioner of the United Kingdom to Uganda,0,14,,,no
Q133817234,Robinah Kakonge,"Ugandan diplomat and journalist, Uganda's ambassador to the United States",Diplomatic service,ambassador of Uganda to the United States,0,14,,,yes
Q43549242,Philippa Ngaju Makobore,Ugandan electrical engineer and academic,Diplomatic service,NEF ambassador,4,13,Philippa Ngaju Makobore,Philippa Ngaju Makabore,yes
Q134067365,,Danish diplomat,Diplomatic service,ambassador of Denmark to Uganda,0,12,,,no
Q133817591,Elizabeth Paula Napeyok,Ugandan diplomat and former educator,Diplomatic service,ambassador of Uganda,2,12,Elizabeth Paula Napeyok,Elizabeth Paula Napeyok,yes
Q54833671,Sophie Moal-Makame,French diplomat,Diplomatic service,ambassador of France to Uganda,0,8,,,no
Q141265456,Baifa Arwinyo,Ugandan medical doctor,Diplomatic service,consultant,0,7,,,yes
Q6779980,Mary Karooro Okurut,Ugandan politician and writer,Parliament,Member of Parliament of Uganda,10,44,Mary Karooro Okurut,Mary Karooro Okurut,yes
Q19276819,Cecilia Ogwal,Ugandan politician,Parliament,Member of Parliament of Uganda,9,37,Cecilia Ogwal,Cecilia Ogwal,yes
Q43375707,Akello Lucy,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,9,32,Lucy Akello,Lucy Akello,yes
Q22007122,Bakireke Nambooze Betty,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,11,32,Betty Nambooze,Betty Nambooze,yes
Q5590968,Grace Akello,"Ugandian poet, essayist, folklorist, politician",Parliament,Member of Parliament of Uganda,20,32,Grace Akello,Grace Akello,yes
Q41768539,Agnes Atim Apea,Ugandan politician,Parliament,Member of Parliament of Uganda,14,30,Agnes Atim Apea,Agnes Atim Apea,yes
Q42664267,Winnie Kiiza,Ugandan politician | legislator | teacher,Parliament,Leader of Opposition; Member of Parliament of Uganda,6,30,Winnie Kiiza,Winnie Kiiza,yes
Q56043365,Aol Betty Ocan,Ugandan politician,Parliament,City Woman Representative; Leader of Opposition; Member of Parliament of Uganda; council member,6,29,Betty Aol Ochan,Betty Aol Ochan,yes
Q60467181,Among Anita Annet,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; Speaker of the Parliament of Uganda,12,27,Anita Among,Anita Among,yes
Q42820085,Adeke Anna Ebaju,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,9,26,Anna Ebaju Adeke,Anna Ebaju Adeke,yes
Q58003644,Avur Jane Pacuto,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,26,Jane Avur Pacuto,Jane Avur Pacuto,yes
Q65984578,Catheline Ndamira Atwakiire,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,9,26,Ndamira Catherine Atwikiire,Ndamira Catherine Atwikiire,yes
Q105906548,Naluyima Betty Ethel,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,5,26,Betty Ethel Naluyima,Betty Ethel Naluyima,yes
Q57828565,Ababiku Jesca,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,12,25,Jesca Ababiku,Jesca Ababiku,yes
Q58003789,Awor Betty Engola,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,6,25,Betty Awori Engola,Betty Awori Engola,yes
Q2605033,Betty Oyella Bigombe,Ugandan politician,Parliament,Member of Parliament of Uganda,8,25,Betty Oyella Bigombe,Betty Oyella Bigombe,yes
Q67080123,Everlyn Chemutai,Ugandan Member of Parliament,Parliament,Member of Parliament of Uganda; member of parliament,7,25,Everlyn Chemutai,Everlyn Chemutai,yes
Q67501169,Lamwaka Catherine,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; RDC; member of parliament,6,25,Catherine Lamwaka,Catherine Lamwaka,yes
Q62487344,Najjuma Sarah,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,25,Sarah Najjuma,Sarah Najjuma,yes
Q138024590,Nameere Justine,Ugandan politician,Parliament,City Woman Representative; Member of Parliament of Uganda,3,25,Justine Nameere,Justine Nameere,yes
Q21032193,Wanyoto Lydia Mutende,Ugandan politician,Parliament,City Woman Representative; Member of East African Legislative Assembly; Member of Parliament of Uganda,10,25,Lydia Wanyoto,Lydia Wanyoto Mutende,yes
Q90923330,Bigirwa Norah Nyendwoha,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,24,Norah Bigirwa-Nyendwoha,Norah Bigirwa-Nyendwoha,yes
Q105903578,Helen Nakimuli,Ugandan politician,Parliament,member of parliament,8,24,Helen Nakimuli,Helen Nakimuli,yes
Q90932931,Kaliisa Jovrine Kyomukama,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,3,24,Jovrine Kyomukama Kaliisa,Jovrine Kyomukama Kaliisa,yes
Q62129175,Lowila Cd Oketayot,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,5,24,Lowila CD Oketayot,Lowila CD Oketayot,yes
Q96194971,Malende Shamim,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,5,24,Shamim Malende,Shamim Malende,yes
Q67500811,Margaret Lamwaka,Ugandan Member of Parliament,Parliament,Member of Parliament of Uganda; member of parliament,5,24,Margaret Lamwaka Odwar,Margaret Lamwaka,yes
Q105963103,Nakazibwe Hope Grania,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,3,24,Hope Nakazibwe Grania,Hope Nakazibwe Grania,yes
Q57829630,Alum Santa Sandra Ogwang,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,23,Alum Sandra Ogwang Santa,Alum Sandra Ogwang Santa,yes
Q90927411,Baguma Spellanza Muhenda,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,23,Spellanza Baguma Muhenda,Okuwandiika Baguma Muhenda,yes
Q49253,Irene Muloni,"Ugandan electrical engineer, businesswoman and politician",Parliament,Member of Parliament of Uganda,12,23,Irene Muloni,Irene Muloni,yes
Q18764172,Judith Babirye,Uganda musician politician,Parliament,Member of Parliament of Uganda,7,23,Judith Babirye,Judith Babirye,yes
Q62100202,Katushabe Ruth,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,0,23,,,yes
Q57829781,Margaret Aachilla Aleper,Ugandan politician,Parliament,Member of Parliament of Uganda,5,23,Margaret Aachilla Aleper,Margaret Aachilla Aleper,yes
Q6873258,Miria Matembe,Ugandan politician,Parliament,Member of Parliament of Uganda; Member of the Pan-African Parliament,11,23,Miria Matembe,Miria Matembe,yes
Q105839631,Mugisa Margaret Muhanga,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,4,23,Margaret Annet Muhanga Mugisa,Margaret Annet Muhanga Mugisa,yes
Q62129326,Mutonyi Rose Masaaba,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,4,23,Rose Mutonyi Masaaba,Rose Mutonyi Masaaba,yes
Q105955511,Nantongo Fortunate Rose,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,2,23,Fortunate Nantongo,Fortunate Nantongo,yes
Q57830246,Alyek Judith,Ugandan politician,Parliament,Member of Parliament of Uganda,5,22,Judith Alyek,Judith Alyek,yes
Q64495988,Ameede Agnes,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,5,22,Agnes Ameede,Agnes Ameede,yes
Q4877205,Beatrice Wabudeya,Ugandan politician,Parliament,Member of Parliament of Uganda,7,22,Beatrice Wabudeya,Beatrice Wabudeya,yes
Q57829968,Faith Alupo,Ugandan politician,Parliament,Member of Parliament of Uganda,9,22,Faith Alupo,Okukkiriza Alupo,yes
Q95918194,Janet Grace Akech Okori-Moe,Ugandan teacher and legislator,Parliament,Member of Parliament of Uganda,4,22,Janet Grace Akech Okori-Moe,Janet Grace Akech Okori-Moe,yes
Q90929827,Osoru Mourine,Ugandan politician,Parliament,City Woman Representative; Member of Parliament of Uganda,4,22,Mourine Osoru,Mourine Osoru,no
Q105760383,Paparu Lillian Obiale,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,2,22,Lillian Obiale Paparu,Lillian Obiale Paparu,yes
Q111444396,Auma Juliana Modest,Ugandan politician,Parliament,member of parliament,4,21,Juliana Modesta Auma,Auma Juliana Omwetoowaze,yes
Q58042319,Babirye Kityo Sarah,Ugandan politician,Parliament,Member of Parliament of Uganda,4,21,Sarah Babirye Kityo,Breeze Sarah Babirye Kityo,yes
Q105890715,Esther Afoyochan,Ugandan politician and woman member of parliament,Parliament,District Woman Representative; Member of Parliament of Uganda,8,21,Esther Afoyochan,Eseza Afoyochan,yes
Q20684950,Florence Nebanda,Ugandan politician and Legislator,Parliament,Member of Parliament of Uganda; Uganda,5,21,Florence Nebanda,Florence Nebanda,yes
Q62100890,Grace Kesande Bataringaya,Ugandan politician,Parliament,Member of Parliament of Uganda,5,21,Grace Kesande Bataringaya,Grace Kesande Bataringaya,yes
Q105825829,Katusiime Annet Mugisha,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,21,Annet Katusiime Mugisha,Annet Katusiime Mugisha,yes
Q58042010,Margaret Baba Diri,Ugandan politician,Parliament,Member of Parliament of Uganda,9,21,Margaret Baba Diri,Margaret Baba Diri,yes
Q90934802,Nankabirwa Ann Maria,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,3,21,Ann Maria Nankabirwa,Ann Maria Nankabirwa,yes
Q62067701,Pamela Nasiyo Kamugo,Ugandan politician,Parliament,Member of Parliament of Uganda,3,21,Pamela Nasiyo Kamugo,Pamela Nasiyo Kamugo,yes
Q58041487,Rose Atima Ayaka,Ugandan politician,Parliament,Member of Parliament of Uganda,4,21,Rose Atima Ayaka,Rose Atima Ayaka,yes
Q32538609,Rwakimari Beatrice,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,6,21,Beatrice Rwakimari,Beatrice Rwakimari,yes
Q116603765,Aguti Sarah,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,3,20,Sarah Aguti Nyangkori,Sarah Aguti Nyangkori,yes
Q105962932,Atyang Stella,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,5,20,Stella Atyang,Stella Atyang,yes
Q105904398,Chemutai Phyllis,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,6,20,Phyllis Chemutai,Phyllis Chemutai,yes
Q90926112,Christine Nakwang Tubo,Ugandan politician who is the woman representative member of parliament for Kaabong District,Parliament,Member of Parliament of Uganda,5,20,Christine Nakwang Tubo,Christine Tubo Nakwang,yes
Q58003275,Evarlyne Buregyeya Asiimwe,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,6,20,Asiimwe Evarlyne Buregyeya,Asiimwe Evarlyne Buregyeya,yes
Q50146409,Florence Alice Lubega,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,11,20,Florence Alice Lubega,Florence Alice Lubega,yes
Q105883576,Jane Awich,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,2,20,Jane Awich,"Jane Awich, omuwandiisi w’ebitabo",yes
Q62101151,Justine Khainza,Ugandan politician and social worker,Parliament,member of parliament,3,20,Justine Khainza,Justine Khainza,yes
Q6343791,Kabakumba Masiko,Ugandan politician,Parliament,Member of Parliament of Uganda,8,20,Kabakumba Masiko,Kabakumba Masiko,yes
Q105904215,Kinshaba Patience Nkunda,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,4,20,Patience Nkunda Kinshaba,Patience Nkunda Kinshaba,yes
Q16186361,Mbabazi Jacqueline,Ugandan politician,Parliament,Member of Parliament of Uganda; Older Persons Representative,4,20,Jacqueline Mbabazi,Jacqueline Mbabazi,yes
Q67080169,Mukisa Robina Hope,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,20,Robina Hope Mukisa,Robina Hope Mukisa,yes
Q57825400,Nabayiga Idah,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,5,20,Idah Nabayiga,Idah Nabayiga,yes
Q105956412,Nabukenya Brenda,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,20,Brenda Nabukenya,Brenda Nabukenya,yes
Q105839727,Nyakato Asinansi,Ugandan politician,Parliament,City Woman Representative; Member of Parliament of Uganda; member of parliament,3,20,Asinansi Nyakato,Asinansi Nyakato,yes
Q62100397,Oliver Katwesigye Koyekyenga,Ugandan Legislator and businesswoman,Parliament,Member of Parliament of Uganda,4,20,Oliver Katwesigye Koyekyenga,Oliver Katwesigye Koyekyenga,yes
Q89370497,Rose Kabagyeni,Ugandan member of parliament,Parliament,Member of Parliament of Uganda,5,20,Rose Kabagyenyi,Rose Kabagyenyi,yes
Q7367874,Rose Namayanja,"Ugandan lawyer, columnist, author, security sector manager and politician",Parliament,Member of Parliament of Uganda,9,20,Rose Namayanja,Rose Namayanja,yes
Q90914975,Safia Juuko Nalule,Ugandan Legislator & Ugandan Disability Rights activist,Parliament,Member of Parliament of Uganda,4,20,Safia Juuko Nalule,Safia Juuko Nalule,yes
Q111507048,Sarah Kiyingi Kyama,Ugandan politician,Parliament,member of parliament,5,20,Sarah Kiyingi Musoke,Sarah Kiyingi Musoke,yes
Q62099508,Susan Amero,Ugandan politician,Parliament,Member of Parliament of Uganda,5,20,Susan Amero,Susan Amero,yes
Q105951153,Taban Aate Sharifah,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,7,20,Taban Sharifah Aate,Taban Sharifah Aate,yes
Q62060614,Zaitun Driwaru,Ugandan politician,Parliament,Member of Parliament of Uganda,4,20,Zaitun Driwaru,Zaitun Driwaru,yes
Q105964981,Acom Alobo Joan,Ugandan politician,Parliament,City Woman Representative; Member of Parliament of Uganda,2,19,Joan Acom Alobo,Joan Acom Alobo,yes
Q105956858,Asiimwe Florence Akiiki,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,3,19,Florence Akiiki Asiimwe,Florence Akiiki Asiimwe,yes
Q105904450,Atuto Jacinta,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,6,19,Jacinta Atuto,Jacinta Atuto,yes
Q105956330,Auma Linda Agnes,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,6,19,Linda Agnes Auma,Linda Agnes Auma,yes
Q105906038,Avako Melsa Naima Gule,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,7,19,Naima Melsa Gule Avako,Naima Melsa Gule Avako,yes
Q116547881,Beatrice Kiraso,Ugandan politician,Parliament,Member of Parliament of Uganda; deputy secretary general,5,19,Beatrice Kiraso,Beatrice Kiraso,yes
Q105761146,Bebona Josephine Babungi,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,3,19,Babungi Josephine Bebona,Babungi Josephine Bebona,yes
Q16194600,Dorothy Samali Hyuha,Ugandan politician educator,Parliament,Member of Parliament of Uganda,8,19,Dorothy Hyuha,Dorothy Hyuha,yes
Q105956578,Driwaru Jennifer,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,5,19,Jennifer Driwaru,Jennifer Driwaru,yes
Q62068243,Elizabeth Beikiriize Karungi,Ugandan politician,Parliament,Member of Parliament of Uganda,3,19,Elizabeth Beikiriize Karungi,Elizabeth Beikiriize Karungi,yes
Q116604516,Eunice Otuko Apio,Ugandan politician,Parliament,Member of Parliament of Uganda,2,19,Eunice Otuko Apio,Omuyimbi Eunice Otuko Apio,yes
Q57825394,Hanifa Kawooya,Ugandan politician,Parliament,member of parliament,3,19,Hanifa Kawooya,Hanifa Kawooya,yes
Q137972245,Harriet Nakwedde,Ugandan politician,Parliament,member of parliament,3,19,Harriet Nakwedde,Harriet Nakwedde,yes
Q6187188,Jessica Eriyo,Ugandan politician,Parliament,Member of Parliament of Uganda,7,19,Jessica Eriyo,Jessica Eriyo,yes
Q62129047,Jovah Kamateeka,Ugandan politician,Parliament,member of parliament,4,19,Jovah Kamateeka,Jovah Kamateeka,yes
Q57826830,Margaret Komuhangi,Uganda politician,Parliament,Member of Parliament of Uganda,4,19,Margaret Komuhangi,Margaret Komuhangi,yes
Q62129269,Mirembe Lydia Daphine,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,5,19,Lydia Daphine Mirembe,Lydia Daphine Mirembe,yes
Q57825270,Molly Lanyero,Ugandan Member of Parliament,Parliament,Member of Parliament of Uganda,7,19,Molly Lanyero,Molly Lanyero,yes
Q105963047,Nambooze Teddy,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,4,19,Teddy Nambooze,Teddy Nambooze,yes
Q105903749,Namukuta Brenda,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,4,19,Brenda Namukuta,Brenda Namukuta,yes
Q137988549,Nassolo Eugenia,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,3,19,Eugenia Nassolo,Eugenia Nassolo,yes
Q105951002,Natumanya Flora,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,19,Flora Natumanya,Flora Natumanya,yes
Q62129125,Noeline Kisembo Basemera,Ugandan politician,Parliament,Member of Parliament of Uganda,4,19,Noeline Kisembo Basemera,Noeline Kisembo Basemera,yes
Q19667316,Rachael Magoola,Uganda musician and politician,Parliament,member of parliament,6,19,Rachael Magoola,Rachael Magoola,yes
Q7368409,Rosemary Najjemba,Uganda politician,Parliament,Member of Parliament of Uganda,6,19,Mariam Najjemba,Mariam Najjemba,yes
Q90920801,Rosemary Nauwat,Ugandan Legislator,Parliament,Member of Parliament of Uganda,4,19,Rosemary Nauwat,Rosemary Nauwat,yes
Q111292264,Ruth Tuma,Ugandan politician and teacher,Parliament,member of parliament,3,19,Ruth Tuma,Ruth Tuma,yes
Q56949745,Sylvia Nayebale,"Ugandan journalist, businesswoman and politician",Parliament,Member of Parliament of Uganda,5,19,Sylvia Nayebale,Sylvia Nayebale,yes
Q58042684,Veronica Babirye Kadogo,Ugandan politician,Parliament,Member of Parliament of Uganda,7,19,Veronica Kadogo,Veronica Babirye Kadogo,yes
Q105965987,Abeja Susan Jolly,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,8,18,Susan Jolly Abeja,Susan Jolly Abeja,yes
