qitem,label,field,statements,date_of_birth,occupation_names,description
Q83613728,Maria Nassali,Activism & social work,26,,"lawyer, jurist, human rights defender, academic",Ugandan feminist and human rights activist
Q64841082,Ella Jane New,Arts & entertainment,25,,"screenwriter, actor, film director, film producer",American actress
Q27267574,Fiona Catherine Ssozi,Other sport,23,1983-03-25T00:00:00Z,badminton player,badminton player
Q62100202,Katushabe Ruth,Politics & government,23,1982-11-23T00:00:00Z,"politician, journalist, legislator",Ugandan politician
Q27817651,Annet Nakamya,Other sport,22,1969-01-01T00:00:00Z,badminton player,badminton player
Q119539254,Paige Robinson,Other sport,22,2000-07-24T00:00:00Z,basketball player,American-Ugandan basketball player
Q27267563,Sauda Nabawesi,Other sport,22,1981-12-13T00:00:00Z,badminton player,badminton player
Q27817645,Helen Luziika,Other sport,21,1970-01-01T00:00:00Z,badminton player,badminton player
Q111901571,Margaret Nagawa,Other / unspecified,21,1971-11-14T00:00:00Z,"curator, painter, sculptor","Ugandan sculptor, painter and curator"
Q141160688,Patience Museveni Rwabwogo,Other / unspecified,21,1978-05-09T00:00:00Z,pastor,"Ugandan 1st daughter, pastor and episcopal bishop"
Q118045990,Sylvia Angubua Baluka,Academia & education,21,,"veterinarian, lecturer, researcher, microbiologist",Ugandan microbiologist and researcher
Q66686258,Jamila Nansikombi,Other sport,20,1997-02-22T00:00:00Z,basketball player,Ugandan basketball player (born 1997)
Q56810807,Harriet Mpairwe,Academia & education,19,,researcher,researcher
Q137782599,Iryn Tushabe,Media & writing,19,,"writer, journalist",Canadian writer and journalist
Q140645118,Jackline Kamanzi,Media & writing,19,,"writer, permanent secretary, executive secretary, self-employed person","Ugandan and Rwandan author, leadership and governance coach, gender equality and social inclusion expert"
Q117860013,Sharifah Wanyana,Other sport,19,2001-07-01T00:00:00Z,badminton player,badminton player
Q137166882,Sheila Nakitende,Other / unspecified,19,1983-01-01T00:00:00Z,visual artist,Ugandan visual artist
Q131195291,Aisha Namatovu,Media & writing,18,1992-12-04T00:00:00Z,"actor, writer, film producer, director","Ugandan film producer, writer, director, and actress"
Q118173594,Annabella Habinka Basaza Ejiri,Academia & education,18,,"teacher, academician, information scientist, researcher",Ugandan information scientist and researcher
Q62168154,Christine Sekaggya-Wiltshire,Health,18,,physician,Ugandan physician
Q137996942,Ntale Nsereko Madina,Politics & government,18,,"politician, legislator",Ugandan politician
Q139717983,Prisca Nakitto,Media & writing,18,,"writer, educator",writer and educator
Q112039573,Priscilla Nyadoi,Politics & government,18,,"writer, politician, lecturer, university teacher","Ugandan Professor of Forestry, Environmentalist and Author"
Q137991539,Ssebbugga Berunado Kimeze,Politics & government,18,1960-08-27T00:00:00Z,"politician, legislator, civil engineer",Ugandan politician
Q131224498,Arao Ameny,Media & writing,17,,"writer, poet, editor, journalist","Ugandan born Poet, Writer, Editor, and Journalist based in Maryland"
Q125173937,Asaph Clan,Arts & entertainment,17,1991-07-07T00:00:00Z,"singer, songwriter",Worship music minister and songwriter
Q136720051,Ashnah Kalemera,Other / unspecified,17,,"director of programming, program manager",Ugandan programme manager
Q111292129,Bintu Jalia Lukumu,Politics & government,17,1967-05-20T00:00:00Z,"teacher, politician, social worker","Ugandan politician, social worker, and teacher"
Q133889680,Birungi Annet,Politics & government,17,,"politician, board member, legislator",Ugandan politician
Q96232512,Daphne Bitalo,Academia & education,17,,researcher,researcher
Q118217917,Elizabeth Naluminsa,Academia & education,17,,"astronomer, teacher, researcher",Ugandan astronomer and researcher
Q113990775,Jalia Walda,Other / unspecified,17,1995-07-07T00:00:00Z,"hairdresser, make-up artist, YouTuber",YouTuber
Q139955393,Kruthum Nalumansi,Other sport,17,2002-04-30T00:00:00Z,badminton player,badminton player
Q139659812,Miriam Luyombo,Academia & education,17,1962-11-22T00:00:00Z,"teacher, businessperson, academician, head teacher",Ugandan educational entrepreneur
Q139881586,Noeline Kirabo,Other / unspecified,17,,"coach, professor, author, business development","Ugandan Business Development Consultant, Serial Author,  Mentor, and Life Coach"
Q90931389,Sarah Nakawunde,Politics & government,17,1970-07-24T00:00:00Z,"teacher, accountant, legislator",Ugandan politician
Q123509793,Shahasi Yusuf Athman,Academia & education,17,,"professor, biotechnologist, lecturer, botanist","Ugandan Botanist, Microbiologist, Biotechnologist lecturer"
Q131195442,Shakira Kibirige,Other / unspecified,17,1986-01-01T00:00:00Z,"hairdresser, make-up artist, costume designer","Ugandan special effects makeup artist, costume designer and hairstylist"
Q133835954,Shilah Lamunu,Other sport,17,2004-10-21T00:00:00Z,basketball player,Ugandan basketball player (born 2004)
Q140658499,Vivian Nalule,Other sport,17,2011-07-30T00:00:00Z,badminton player,badminton player
Q137988626,Wembabazi Beatrice,Politics & government,17,,"politician, legislator",Ugandan politician
Q140563024,,Other / unspecified,17,,"agronomist, women's rights activist",
Q136929169,Achiro Patricia Olwoch,Other / unspecified,16,,"playwright, filmmaker","Ugandan playwright, author and filmmaker"
Q58003483,Atim Joy Ongom,Politics & government,16,1968-09-15T00:00:00Z,"politician, accountant",Ugandan politician
Q111291779,Chekamondo Ruykiya Kulany,Politics & government,16,1965-10-07T00:00:00Z,"politician, educator",Ugandan educator and politician
Q65086888,Connie Nshemereirwe,Other / unspecified,16,,"facilitator, educational theorist",Science and Policy Facilitator
Q138012956,Diana Kibuukauga,Media & writing,16,,"journalist, radio personality, podcaster, broadcaster",Ugandan climate journalist
Q110978829,Margret Kunihira,Football,16,2004-09-09T00:00:00Z,association football player,Ugandan footballer
Q139555005,Nnamara Annet Oyes Byamukama,Politics & government,16,,"politician, business administration, legislator",Ugandan politician
Q140982823,Patience Nitumwesiga,Media & writing,16,,"writer, teacher, playwright, artist","Ugandan feminist filmmaker, writer and artist"
Q111084062,Phiona Nabbumba,Football,16,2000-07-20T00:00:00Z,"midfielder, association football player",Ugandan footballer
Q136760033,Proscovia Namubiru Ssentamu,Academia & education,16,,"professor, lecturer",Ugandan professor of education
Q122182175,Robert Ojambo,Academia & education,16,,"political scientist, university teacher, researcher",Ugandan political scientist and educator
Q136734800,Rose lily Kebirungi,Other / unspecified,16,,"make-up artist, costume designer, personal stylist","Ugandan makeup artist, special effects artist, costume designer, and stylist"
Q139671429,Ruth Mukama Gimbo,Other / unspecified,16,1946-12-01T00:00:00Z,professor,A Ugandan academic professor specializing in linguistics
Q120786056,Sarah Kaddu,Academia & education,16,,"librarian, university teacher","Ugandan librarian, LIS educator, and administrator"
Q133836129,Sarah Nkonge,Academia & education,16,,"teacher, entrepreneur, lecture",Ugandan entrepreneur
Q67500467,Susan Lakot Oruni,Other / unspecified,16,1975-07-07T00:00:00Z,"military officer, head teacher",UPDF Representative in Ugandan Parliament
Q138291849,Assumpta Owomugisha,Other sport,15,2003-06-10T00:00:00Z,badminton player,badminton player
Q137999916,Auma Janet,Politics & government,15,,"politician, legislator",Ugandan politician
Q105951109,Azairwnshaija Kabaraitsya Dorothy,Politics & government,15,1974-12-15T00:00:00Z,"politician, accountant",Ugandan politician and accountant
Q139769949,Bina Babie,Media & writing,15,1976-01-01T00:00:00Z,"journalist, radio personality",Ugandan journalist
Q140645984,Brownie Ebal,Media & writing,15,,"writer, lawyer, general counsel","Ugandan lawyer, author and legal manager at the National Water and Sewerage Coorporation"
Q131290614,Cissy Nalumansi,Other / unspecified,15,,"film director, film producer, film screenwriter","Ugandan Film Writer, Director, Producer"
Q136658346,Elone Natumanya Ainebyoona,Other / unspecified,15,,,Governance and Policy Expert
Q130600715,Eva Nagayi,Football,15,2004-11-04T00:00:00Z,association football player,Ugandan footballer
Q118985485,Evelynn Angeyo,Other / unspecified,15,1978-08-14T00:00:00Z,"information and communications technology, human resource manager","Board Member, Gender Tech Initiative"
Q141349151,Hosea Kiprop,Other sport,15,2005-12-10T00:00:00Z,athlete,Ugandan middle distance runner
Q138834562,Joyce Christine Nakiwala,Arts & entertainment,15,,"entrepreneur, choreographer, yoga instructor, dancer","Ugandan yoga teacher, meditation instructor, dancer, and wellness coach"
Q137996361,Kabarokole Sarah,Politics & government,15,,"politician, legislator",Ugandan politician
Q137997004,Khainza Agnes Shiuma,Politics & government,15,,"politician, legislator",Ugandan politician
Q119562207,Leslie Vorpahl,Other sport,15,1995-08-08T00:00:00Z,basketball player,American basketball player (born 1995)
Q137992940,Lwansasula Sarah,Politics & government,15,,"politician, legislator",Ugandan politician
Q111023620,Majidah Nantanda,Football,15,,"coach, association football coach, trainer",Ugandan football player and manager
Q138000223,Mariam Seif,Politics & government,15,,"politician, legislator",Ugandan politician
Q135338492,Mary Moses Amaniyo,Other sport,15,2003-12-15T00:00:00Z,basketball player,Ugandan basketball player (born 2003)
Q139782229,Mary Nakandha Okwakol,Academia & education,15,1951-01-01T00:00:00Z,"official, director, university teacher, researcher","Ugandan academician, administrator and a zoologist"
Q138465009,Mona Taha,Arts & entertainment,15,1988-01-01T00:00:00Z,artist,Ugandan self-taught artist
Q138751316,Mutasingwa Diana Nankunda Kagyenyi,Politics & government,15,1989-12-09T00:00:00Z,"businessperson, politician, legislator",Ugandan politician
Q137988651,Namulondo Sarah,Politics & government,15,,"politician, legislator",Ugandan politician
Q136734670,Nantege Rhona Kyewalabye,Arts & entertainment,15,,"artist, visual artist, spoken word artist",Uganda visual and spoken word artist
Q140988465,Olivia Nassaka Banja,Other / unspecified,15,,"chancellor, associate professor",Ugandan academic leader and theologian
Q116911859,Priscilla Busingye,Academia & education,15,1965-11-19T00:00:00Z,"university teacher, gynecologist, obstetrician, religious sister",Ugandan religious sister and obstetric gynaecologist
Q95628213,Saphina Biira,Academia & education,15,,"physicist, docent, university teacher, researcher",Ugandan physicist and researcher
Q106691592,Scovia Arinaitwe,Activism & social work,15,,"human rights defender, trainer, coordinator",Human Rights Defender in Uganda
Q133835936,Shakirah Nanvubya,Other sport,15,2000-11-13T00:00:00Z,basketball player,Ugandan basketball player (born 2000)
Q130354613,Sharifa Nakimera,Football,15,2005-03-30T00:00:00Z,association football player,Ugandan footballer
Q134887604,Sharifah Nalwadda,Other sport,15,2004-08-12T00:00:00Z,basketball player,Ugandan basketball player (born 2004)
Q119562956,Sharon Karungi,Other sport,15,1990-09-16T00:00:00Z,basketball player,Ugandan basketball player (born 1990)
Q137972444,Sheila Amaniyo,Politics & government,15,,"politician, Rotarian",Ugandan politician
Q119557618,Urysla Cotton,Other sport,15,1988-09-28T00:00:00Z,basketball player,Ugandan basketball player (born 1988)
Q137988593,Winifred Nakandi,Politics & government,15,,politician,Ugandan politician
Q139658917,Aaliyah Viola Nantabaazi,Media & writing,14,1998-05-18T00:00:00Z,poet,"Ugandan actress( screen and stage), voice actor, poet and film producer"
Q138438582,Aketch Joy Winnie,Academia & education,14,1993-05-08T00:00:00Z,"teacher, fashion model, vlogger, runway model",Ugandan model and content creator
Q137990706,Amongin Jane Frances Okili,Politics & government,14,,"politician, legislator",Ugandan politician
Q137996715,Ayoo Janeth Phoebe Obol,Politics & government,14,,"politician, legislator",Ugandan politician
Q131294228,Ber Harriet Anena,Media & writing,14,,"writer, poet",Ugandan writer and poet
Q133460251,Erina Namutebi,Other sport,14,1993-09-28T00:00:00Z,boxer,Ugandan boxer
Q136766796,Gorreti Kyomuhendo,Media & writing,14,,writer,Ugandan writer
Q133881012,Joan Tushemereirwe,Other sport,14,1994-01-01T00:00:00Z,volleyball player,Ugandan volleyball player
Q139857801,Joanna Amaru,Arts & entertainment,14,,singer,Ugandan based New York singer and song writer
Q137993092,Khalayi Peace,Politics & government,14,,"politician, legislator",Ugandan politician
Q136659891,Kyarikunda Loydah Twinomujuni,Politics & government,14,,"politician, legislator",Ugandan politician
Q138751314,Lenia Charity Kevin,Politics & government,14,,"politician, legislator",Ugandan politician
Q139759680,Lucky Mbabazi,Media & writing,14,1980-10-28T00:00:00Z,"actor, journalist",Ugandan journilist
Q137993385,Mafabi Asha Nabulo,Politics & government,14,,"politician, legislator",Ugandan politician
Q112579410,Mariam Fauzat Wangadya,Activism & social work,14,,"lawyer, advocate, human rights defender","Ugandan lawyer, advocate and Human Rights activist"
Q131219528,Martha Byoga,Media & writing,14,,"poet, spoken word, radio personality",Radio Presenter
Q62570853,Martha Kay,Arts & entertainment,14,,"photographer, actor, comedian",Ugandan comedian
Q138604787,Monica Nakityo Nakagande,Other sport,14,,badminton player,badminton player
Q137988728,Mushabe Rujoki Ruth,Politics & government,14,,"politician, legislator",Ugandan politician
Q119242506,Najjuka Solome,Media & writing,14,,"writer, educator, columnist, university teacher",Ugandan author/ educator
Q138006535,Namubiru Rwabushaija Margaret,Politics & government,14,1956-01-01T00:00:00Z,"politician, legislator",Ugandan politician
Q139554994,Nankwanga Stellamaris,Politics & government,14,,"politician, legislator",Ugandan politician
Q137994327,Onzima Phiona,Politics & government,14,,"politician, legislator",Ugandan politician
Q133817234,Robinah Kakonge,Politics & government,14,,"politician, journalist","Ugandan diplomat and journalist, Uganda's ambassador to the United States"
Q134873896,Sarah Ageno,Other sport,14,1996-07-12T00:00:00Z,basketball player,Ugandan basketball player (born 1996)
Q141224146,Sarah Evelyn Nabwire Ssali,Other / unspecified,14,1971-01-01T00:00:00Z,professor,Ugandan academic and professor
Q140512191,Sarah Mukisa,Media & writing,14,,"writer, pastor",Ugandan author and pastor
Q130562754,Shakirah Mutibwa,Football,14,,association football player,Ugandan Footballer
Q137991346,Tibyaze Peace,Politics & government,14,,"politician, legislator",Ugandan politician
Q139554750,Aayoo Joyce Makamoe,Politics & government,13,,"politician, legislator",Ugandan politician
Q133835913,Agatha Kamwada,Other sport,13,2000-11-24T00:00:00Z,basketball player,Ugandan basketball player (born 2000)
Q137990597,Akifeza Grace Ngabirano,Politics & government,13,,"politician, legislator",Ugandan politician
Q137901058,Alice Ruhweza,Other / unspecified,13,,executive director,Ugandan environment advocate
Q139554794,Amaniyo Draville Sheilah,Politics & government,13,,"politician, legislator",Ugandan politician
Q126326714,Esther Kisakye,Law,13,,lawyer,Ugandan lawyer and judge
Q133836260,Evelyn Anyipo,Other sport,13,1994-07-24T00:00:00Z,cricketer,Ugandan cricketer
Q118610749,Fiona Mutekanga,Academia & education,13,,"docent, researcher, ecologist",Ugandan environmental scientist| academic and researcher
Q122723284,Godliver Owomugisha,Academia & education,13,,"computer scientist, docent, researcher",Ugandan computer scientist and researcher
Q105836109,Hellen Auma Wandera,Politics & government,13,1997-12-12T00:00:00Z,politician,Ugandan politician
Q133836403,Irene Mutonyi,Other sport,13,2008-10-10T00:00:00Z,cricketer,Ugandan cricketer
Q130737819,Joanitah Ainembabazi,Football,13,,association football player,Ugandan Footballer
Q28038455,Joanitta Bewulira-Wandera,Arts & entertainment,13,,"actor, film actor",actor
Q131290278,Josephine Kabahuma,Arts & entertainment,13,,"actor, costume designer, film director, production designer","Ugandan Actress, Film Producer, Film Writer, Film Director, Production Designer, Costume Designer"
Q135391858,Josephine Salmon,Other sport,13,1991-01-17T00:00:00Z,basketball player,English basketball player (born 1991)
Q137999857,Joyo Harriet,Politics & government,13,,"politician, legislator",Ugandan politician
Q111439050,Kabaale Kwagala Olivia,Politics & government,13,1969-06-16T00:00:00Z,politician,Ugandan politician
Q138028929,Kanyesigye Mercy,Politics & government,13,,"politician, legislator",Ugandan politician
Q138132307,Kibaaju Charity Kamuhanda,Politics & government,13,,"politician, legislator",Ugandan politician
Q105760683,Koyeekyenga Katwesigye Oliva,Politics & government,13,,politician,Ugandan politician
Q139554918,Kyarampe Rebecca,Politics & government,13,,"politician, legislator",Ugandan politician
Q133881189,Margret Namyalo,Other sport,13,,volleyball player,Volleyball player
Q122914346,May Murungi,Other / unspecified,13,,postdoctoral researcher,Ugandan archaeological researcher
Q119241607,Mazzi Wampamba,Media & writing,13,,poet,Ugandan author
Q133835895,Modesta Anyango,Other sport,13,2007-12-17T00:00:00Z,basketball player,Ugandan basketball player (born 2007)
Q137989675,Nabawanuka Sumayah,Politics & government,13,,"politician, legislator",Ugandan politician
Q137991018,Nabirye Annet,Politics & government,13,,"politician, legislator",Ugandan politician
Q140562277,Namyalo Faridah,Other sport,13,,boxer,Ugandan boxer
Q137208774,Nicole Remus,Media & writing,13,1995-01-01T00:00:00Z,"architect, poet, artist, curator","visual artist, curator, and architect"
Q131010704,Nina Roz,Arts & entertainment,13,1993-07-17T00:00:00Z,musician,Ugandan musician
Q138003607,Ninsiima Evelyne,Politics & government,13,,"politician, legislator",Ugandan politician
Q134078752,Olivia Mukaya,Other sport,13,2011-01-01T00:00:00Z,chess player,Ugandan chess player
Q130352342,Samalie Nakacwa,Football,13,2003-01-15T00:00:00Z,association football player,Ugandan footballer
Q137993723,Sarah Ithungu Masereka Baleke,Politics & government,13,,politician,Ugandan politician
Q135105159,Shakira Nasaka,Other sport,13,1998-06-28T00:00:00Z,netballer,Ugandan netball player
Q111020276,Shamim Nambasa,Politics & government,13,1999-01-01T00:00:00Z,"politician, pharmacist, activist",Ugandan Politician
Q135155053,Shamirah Nassolo,Other sport,13,1998-05-01T00:00:00Z,netballer,Ugandan netball player
Q129445937,Sharon Kaidu,Football,13,2003-11-28T00:00:00Z,association football player,Ugandan footballer
Q83555432,Stella Kabiri-Marial,Academia & education,13,,researcher,researcher
Q137325177,Suzan Faith Mutesi Mufumbiro,Arts & entertainment,13,1986-01-01T00:00:00Z,"actor, fashion designer, model","Ugandan-Australian based actress, model and fashion designer"
Q139780334,Sylvia Namwase,Academia & education,13,,"lawyer, lecturer",Ugandan legal scholar
Q134819502,Sylvia Nantongo,Other sport,13,2004-12-02T00:00:00Z,basketball player,Ugandan basketball player (born 2004)
Q131105336,Tracy Kababiito,Media & writing,13,,"actor, television presenter, voice actor, radio personality","Ugandan actor, voice over actor, digital creator, television and radio Host"
Q136682547,Achayo Juliet Lodou,Politics & government,12,,"politician, legislator",Ugandan politician
Q134880797,Adong Mukula Meble,Football,12,2007-05-23T00:00:00Z,association football player,Ugandan football player
Q131298074,Agatha Rachael Akullu,Media & writing,12,,"poet, activist","Founder and CEO Read Us Africa, Ugandan literacy activist"
Q135111242,Alice Winnie Isoto,Other sport,12,2000-02-18T00:00:00Z,basketball player,Ugandan basketball player (born 2000)
Q97690763,Annah Senyondwa,Football,12,1994-04-24T00:00:00Z,association football player,Ugandan association football player
Q133470244,Ayerango Justine,Football,12,,association football player,Ugandan footballer
Q112144856,Caroline Mbabazi,Other / unspecified,12,,adviser,"Lawyer, Advocate and Partner in Energy Mining and Infrastructure Practice specializing in commercial law with a focus on the energy, mining and infrastructure sector in Uganda."
Q137996833,Diana Jane Mugenyi,Politics & government,12,,politician,Ugandan politician
Q126369471,Doreen Kyazze,Activism & social work,12,,"lawyer, human rights defender",Ugandan lawyer and human rights activist
Q118985264,Dr. Ketty Anyeko,Other / unspecified,12,1981-02-28T00:00:00Z,information and communications technology,"Board Member, Gender Tech Initiative"
Q134078842,Elna Mercy Lakica,Other sport,12,2011-01-01T00:00:00Z,chess player,Ugandan chess player and politician
Q138001165,Ethel Aanyu,Other / unspecified,12,1994-08-01T00:00:00Z,"photographer, painter",Ugandan Photographer and Painter
Q134078806,Evelyn Namugalu,Other sport,12,2009-01-01T00:00:00Z,chess player,Ugandan chess player
Q133880409,Flavia Nandawula,Other sport,12,,volleyball player,Volleyball player
Q84498032,Flora Aulangot,Arts & entertainment,12,1897-01-01T00:00:00Z,"artist, sculptor",Ugandan sculptor
Q135353336,Francesca Kyamagero,Other sport,12,2008-08-11T00:00:00Z,basketball player,Irish basketball player (born 2008)
Q130354276,Hadijah Babirye,Football,12,2004-11-02T00:00:00Z,association football player,Ugandan footballer
Q134078721,Irene Nakibuule,Other sport,12,2006-01-01T00:00:00Z,chess player,Ugandan chess player
Q139621483,Joan Busingye,Other / unspecified,12,1992-04-18T00:00:00Z,psychologist,"Public Health Consultant based in Kampala, Uganda"
Q129094660,Jolly Kobusinge,Football,12,2002-01-29T00:00:00Z,"defender, association football player",Ugandan footballer and defender
Q134880724,Josephine Nambuya,Football,12,2006-01-01T00:00:00Z,association football player,Ugandan football player
Q133863749,Judith Nansobya,Other sport,12,1986-10-10T00:00:00Z,basketball player,Ugandan basketball player (born 1986)
Q133464141,Katusiime Charity,Football,12,,association football player,Ugandan football player
Q141265972,Kedrace R. Turyagyenda,Politics & government,12,,"secretary, civil servant, educator",Ugandan secretary
Q133835966,Keren Longom,Other sport,12,2002-09-13T00:00:00Z,basketball player,Ugandan basketball player (born 2002)
Q130594845,Latifah Nakasi,Football,12,2003-05-03T00:00:00Z,association football player,Ugandan female Football Player
Q133522072,Liliane Byarugaba Adriko,Other / unspecified,12,,"secretary, advocate","CEO-FIDA Uganda, Activist"
Q131105587,Linda Nabasa,Media & writing,12,,"actor, poet, playwright, theatrical producer","Poet, short story writer, playwright, actress and theatre producer"
Q133462786,Mercy Batamuliza,Other sport,12,,netballer,Ugandan netball player
Q137991609,Muhooza Desire,Politics & government,12,,"politician, legislator",Ugandan politician
Q140562336,Nagawa Vanessa,Other sport,12,,boxer,Ugandan amateur boxer
Q140562303,Nakandi Judith,Other sport,12,,boxer,Ugandan boxer
Q131362422,Nandor Love,Arts & entertainment,12,2002-11-25T00:00:00Z,"singer, musician",Ugandan Musician
Q130613980,Noeline Namiiro,Football,12,,"association football referee, association football player",Ugandan Footballer
Q135342857,Olivia Kolo,Other sport,12,1986-02-25T00:00:00Z,basketball player,Swedish basketball player (born 1986)
Q138504865,Olivia Nabawanda,Academia & education,12,,lecturer,Ugandan mathematician and academic
Q133863760,Olivia Nalubega,Other sport,12,,kabaddi player,"Ugandan football ,netball and volleyball player"
Q136773966,Patricia Aceng,Politics & government,12,,"politician, journalist",Ugandan journalist and politician
Q135152124,Patricia Arago,Other sport,12,2003-04-15T00:00:00Z,netballer,Ugandan netball player
Q120670116,Patricia Nasuuna,Health,12,1986-07-23T00:00:00Z,physician,physician
Q133836106,Prosscovia Alako,Other sport,12,2002-10-30T00:00:00Z,cricketer,Ugandan female cricketer
Q136863308,Pumla Nabachwa,Other / unspecified,12,1985-01-01T00:00:00Z,"economist, banker",Ugandan Financial literacy coach
Q130569509,Resty Kobusobozi,Football,12,,association football player,Ugandan Football player
Q131599014,Rose Izizinga,Academia & education,12,,teacher,Ugandan Educationist
Q137988579,Rose Kirabira,Politics & government,12,,politician,Ugandan politician
Q135361848,Rose Macuei,Other sport,12,2000-04-24T00:00:00Z,basketball player,South Sudanese basketball player (born 2000)
Q110880206,Ruth Kavuma,Politics & government,12,,"teacher, politician","First black & former headteacher of Gayaza High School & former Member of Parliament for Kalangala District, Deputy chairperson at NIRA"
Q110897276,Santa Obongonyige,Other / unspecified,12,1938-12-24T00:00:00Z,educational theorist,"Educationist, community developer"
Q130612631,Shadia Nabirye,Football,12,2009-03-23T00:00:00Z,association football player,Ugandan Footballer
Q134078158,Sharon Namujju,Other sport,12,2003-01-01T00:00:00Z,chess player,Ugandan chess player
Q133828909,Sharua Ndagire,Other sport,12,2002-01-19T00:00:00Z,boxer,Ugandan boxer
Q140996063,Abigael K Muttamba,Other sport,11,,swimmer,Ugandan swimmer
Q135338426,Abigail Mpoza,Other sport,11,2007-12-08T00:00:00Z,basketball player,Ugandan basketball player (born 2007)
Q130717656,Agatha Adongo,Football,11,,association football player,Ugandan Association Footballer
Q136800698,Agnes Nantongo Ssali,Law,11,,lawyer,legal professional
Q130613950,Aisha Namagembe,Football,11,,"association football player, boxer",Ugandan footballer and boxer
Q136766554,Alice Nankya Ndidde,Academia & education,11,,lecturer,"Ugandan lecturer, humanitarian"
Q96433195,Alison Annet Kinengyere,Academia & education,11,,"librarian, university teacher, researcher",researcher
Q130600542,Aminah Nakato,Football,11,2001-04-11T00:00:00Z,association football player,Ugandan footballer
Q134078045,Angel Patricia Asiimwe,Other sport,11,2010-01-01T00:00:00Z,chess player,Ugandan chess player
Q134008612,Angel Tiffany Mwagale,Other sport,11,2004-01-01T00:00:00Z,chess player,Ugandan chess player
Q141007060,Angela Sanyu Okullo,Other / unspecified,11,,"pastor, author","Ugandan author, pastor and gospel singer"
Q135338466,Angella Auma,Other sport,11,2007-05-07T00:00:00Z,basketball player,Ugandan basketball player (born 2007)
Q133863726,Angella Namirimu,Other sport,11,1990-01-20T00:00:00Z,basketball player,Ugandan basketball player (born 1990)
Q130612106,Anitah Arinda,Football,11,,association football player,Ugandan Footballer
Q105883360,Annet Musika,Politics & government,11,,politician,Ugandan politician
Q105839468,Asha Aisha Kabanda Nalule,Politics & government,11,,politician,Ugandan politician
Q107163429,Babra Nuwasimire,Arts & entertainment,11,1998-10-22T00:00:00Z,model,Ugandan model
Q135338519,Bridget Aber,Other sport,11,2001-12-31T00:00:00Z,basketball player,Ugandan basketball player (born 2001)
Q133835927,Bushira Namayanja,Other sport,11,2007-12-29T00:00:00Z,basketball player,Ugandan basketball player (born 2007)
Q131221696,Carolyne Miriam Acen,Media & writing,11,,"poet, editor, spoken word artist","Ugandan poet, spoken word artist, editor, and activist"
Q62099342,Catherine Adipo,Academia & education,11,,teacher,Ugandan Football Referee
Q136734476,Charlene Komuntale,Other / unspecified,11,1991-01-01T00:00:00Z,multimedia artist,Uganda multi-media artist
Q136822180,Christine Nalubowa,Other / unspecified,11,,director,Ugandan IT professional and management consultant
Q135338476,Christine Namyalo,Other sport,11,2006-12-25T00:00:00Z,basketball player,Ugandan basketball player (born 2006)
Q111364527,Damali Ssali,Media & writing,11,,"writer, entrepreneur, accountant","Ugandan Afro-optimist and author with expertise ranging from financial services, trade policy, business, innovation and entrepreneurship"
Q135338478,Darlene Tashobya,Other sport,11,2005-08-10T00:00:00Z,basketball player,Ugandan basketball player (born 2005)
Q87479217,Diana Turyanabo,Other sport,11,1991-12-24T00:00:00Z,boxer,Ugandan Boxer
Q140590182,Eleanor Amali Achidria,Other sport,11,,swimmer,Ugandan swimmer
Q133863677,Elizabeth Kizza,Other sport,11,1982-04-15T00:00:00Z,basketball player,Ugandan basketball player (born 1982)
Q139850523,Esther Nabaasa Mugizi,Other / unspecified,11,,"record producer, songwriter","Ugandan Musician, songwriter, and record producer"
Q134078877,Faith Mwesigwa,Other sport,11,2010-01-01T00:00:00Z,chess player,Ugandan chess player
Q119019098,Fiona Tusiime,Academia & education,11,1976-03-10T00:00:00Z,lecturer,Professor of Philosophy and Lecturer at Cavendish University Kampala
Q131279485,Flavia Kyomukama,Activism & social work,11,,"teacher, activist, mentor, counselor",human rights advocate
Q124289214,Florence Nakagwa,Other sport,11,2004-09-09T00:00:00Z,sport cyclist,Ugandan cyclist
Q130717948,Florence Nazizi,Football,11,,association football player,Uganda footballer
Q141246875,Gladys Nsibirwa Wambuzi,Academia & education,11,1932-09-09T00:00:00Z,"teacher, academic administrator",Ugandan educationist
Q133880318,Grace Akiror,Other sport,11,1991-07-03T00:00:00Z,volleyball player,Volleyball player
Q118976329,Grace Nanyonga,Other / unspecified,11,1974-06-17T00:00:00Z,information and communications technology,"Board Member, Digital Literacy Initiative Uganda"
Q114232444,Hadijah Najjuko,Other sport,11,1989-04-25T00:00:00Z,sport cyclist,cyclist
Q119583076,Hanna Kreitem,Other / unspecified,11,1983-12-11T00:00:00Z,information and communications technology,"Senior Advisor, Internet Technology and development MENA"
Q138819503,Harriet Ssali Nalukwago,Law,11,,lawyer,Ugandan lawyer
Q139744162,Hilder Twongyeirwe,Media & writing,11,,"writer, editor",Ugandan writer and editor
Q121745094,Hope Chigudu,Other / unspecified,11,,"sociologist, women's rights activist",Zimbabwean sociologist
Q135338435,Hope Sisto,Other sport,11,2008-06-06T00:00:00Z,basketball player,Ugandan basketball player (born 2008)
Q120670385,Irene Atim,Health,11,1976-04-09T00:00:00Z,physician,Nurse Mulago Hospital
Q120670340,Iyumva Aimable,Health,11,1985-02-28T00:00:00Z,physician,Nurse Mulago Hospital
